time,Step_Input,Underdamped,Critical,Overdamped
5.13,1,1.3413,0.917384,0.643592
5.14,1,1.33778,0.918047,0.644546
5.15,1,1.33424,0.918704,0.645497
5.16,1,1.33068,0.919357,0.646445
5.17,1,1.3271,0.920004,0.647392
5.18,1,1.3235,0.920647,0.648335
5.19,1,1.31989,0.921285,0.649276
5.2,1,1.31625,0.921918,0.650215
5.21,1,1.31261,0.922546,0.651151
5.22,1,1.30894,0.92317,0.652084
5.23,1,1.30526,0.923788,0.653015
5.24,1,1.30156,0.924402,0.653944
5.25,1,1.29785,0.925012,0.65487
5.26,1,1.29412,0.925616,0.655793
5.27,1,1.29038,0.926217,0.656714
5.28,1,1.28662,0.926812,0.657633
5.29,1,1.28285,0.927403,0.658549
5.3,1,1.27907,0.927989,0.659463
5.31,1,1.27527,0.928571,0.660374
5.32,1,1.27146,0.929149,0.661283
5.33,1,1.26764,0.929722,0.662189
5.34,1,1.26381,0.930291,0.663093
5.35,1,1.25997,0.930855,0.663995
5.36,1,1.25612,0.931415,0.664894
5.37,1,1.25225,0.931971,0.66579
5.38,1,1.24838,0.932522,0.666685
5.39,1,1.2445,0.933069,0.667577
5.4,1,1.24061,0.933612,0.668466
5.41,1,1.23671,0.934151,0.669353
5.42,1,1.2328,0.934686,0.670238
5.43,1,1.22888,0.935216,0.671121
5.44,1,1.22496,0.935743,0.672001
5.45,1,1.22103,0.936265,0.672878
5.46,1,1.21709,0.936784,0.673754
5.47,1,1.21315,0.937298,0.674627
5.48,1,1.20921,0.937808,0.675497
5.49,1,1.20525,0.938315,0.676366
5.5,1,1.2013,0.938817,0.677232
5.51,1,1.19733,0.939316,0.678095
5.52,1,1.19337,0.939811,0.678957
5.53,1,1.1894,0.940301,0.679816
5.54,1,1.18543,0.940789,0.680673
5.55,1,1.18145,0.941272,0.681527
5.56,1,1.17748,0.941751,0.682379
5.57,1,1.1735,0.942227,0.683229
5.58,1,1.16952,0.942699,0.684077
5.59,1,1.16554,0.943168,0.684922
5.6,1,1.16156,0.943633,0.685765
5.61,1,1.15757,0.944094,0.686606
5.62,1,1.15359,0.944551,0.687445
5.63,1,1.14961,0.945005,0.688281
5.64,1,1.14563,0.945456,0.689115
5.65,1,1.14165,0.945903,0.689947
5.66,1,1.13767,0.946346,0.690777
5.67,1,1.1337,0.946786,0.691604
5.68,1,1.12973,0.947223,0.69243
5.69,1,1.12576,0.947656,0.693253
5.7,1,1.12179,0.948086,0.694073
5.71,1,1.11783,0.948512,0.694892
5.72,1,1.11387,0.948935,0.695708
5.73,1,1.10992,0.949355,0.696523
5.74,1,1.10597,0.949771,0.697335
5.75,1,1.10202,0.950184,0.698145
5.76,1,1.09808,0.950594,0.698952
5.77,1,1.09415,0.951001,0.699758
5.78,1,1.09022,0.951404,0.700561
5.79,1,1.08631,0.951805,0.701363
5.8,1,1.08239,0.952202,0.702162
5.81,1,1.07849,0.952596,0.702959
5.82,1,1.07459,0.952986,0.703754
5.83,1,1.0707,0.953374,0.704546
5.84,1,1.06682,0.953759,0.705337
5.85,1,1.06295,0.954141,0.706126
5.86,1,1.05909,0.954519,0.706912
5.87,1,1.05523,0.954895,0.707696
5.88,1,1.05139,0.955268,0.708478
5.89,1,1.04755,0.955638,0.709258
5.9,1,1.04373,0.956004,0.710036
5.91,1,1.03992,0.956368,0.710812
5.92,1,1.03612,0.956729,0.711586
5.93,1,1.03233,0.957087,0.712358
5.94,1,1.02855,0.957443,0.713128
5.95,1,1.02479,0.957795,0.713895
5.96,1,1.02104,0.958145,0.714661
5.97,1,1.0173,0.958492,0.715424
5.98,1,1.01357,0.958836,0.716186
5.99,1,1.00986,0.959177,0.716945
6,1,1.00616,0.959516,0.717703
6.01,1,1.00247,0.959852,0.718458
6.02,1,0.998804,0.960185,0.719212
6.03,1,0.995149,0.960516,0.719963
6.04,1,0.991509,0.960844,0.720712
6.05,1,0.987883,0.96117,0.72146
6.06,1,0.984274,0.961492,0.722205
6.07,1,0.980681,0.961813,0.722948
6.08,1,0.977104,0.96213,0.72369
6.09,1,0.973543,0.962445,0.724429
6.1,1,0.969999,0.962758,0.725167
6.11,1,0.966473,0.963068,0.725902
6.12,1,0.962964,0.963376,0.726635
6.13,1,0.959472,0.963681,0.727367
6.14,1,0.955999,0.963984,0.728096
6.15,1,0.952544,0.964284,0.728824
6.16,1,0.949107,0.964582,0.72955
6.17,1,0.945689,0.964877,0.730273
6.18,1,0.94229,0.96517,0.730995
6.19,1,0.938911,0.965461,0.731715
6.2,1,0.935551,0.965749,0.732433
6.21,1,0.932211,0.966036,0.733149
6.22,1,0.928891,0.966319,0.733863
6.23,1,0.925592,0.966601,0.734575
6.24,1,0.922313,0.96688,0.735285
6.25,1,0.919055,0.967157,0.735994
6.26,1,0.915818,0.967432,0.7367
6.27,1,0.912602,0.967704,0.737405
6.28,1,0.909408,0.967975,0.738107
6.29,1,0.906235,0.968243,0.738808
6.3,1,0.903085,0.968509,0.739507
6.31,1,0.899957,0.968773,0.740204
6.32,1,0.896851,0.969034,0.740899
6.33,1,0.893768,0.969294,0.741593
6.34,1,0.890708,0.969551,0.742284
6.35,1,0.887671,0.969807,0.742974
6.36,1,0.884658,0.97006,0.743662
6.37,1,0.881668,0.970312,0.744347
6.38,1,0.878701,0.970561,0.745032
6.39,1,0.875759,0.970808,0.745714
6.4,1,0.872841,0.971053,0.746394
6.41,1,0.869947,0.971296,0.747073
6.42,1,0.867078,0.971538,0.74775
6.43,1,0.864233,0.971777,0.748425
6.44,1,0.861413,0.972014,0.749098
6.45,1,0.858619,0.97225,0.749769
6.46,1,0.855849,0.972483,0.750439
6.47,1,0.853106,0.972715,0.751107
6.48,1,0.850387,0.972945,0.751773
6.49,1,0.847695,0.973173,0.752437
6.5,1,0.845028,0.973399,0.753099
6.51,1,0.842388,0.973623,0.75376
6.52,1,0.839774,0.973845,0.754419
6.53,1,0.837186,0.974066,0.755076
6.54,1,0.834625,0.974284,0.755732
6.55,1,0.83209,0.974501,0.756385
6.56,1,0.829583,0.974716,0.757037
6.57,1,0.827102,0.97493,0.757687
6.58,1,0.824649,0.975141,0.758336
6.59,1,0.822223,0.975351,0.758982
6.6,1,0.819824,0.97556,0.759627
6.61,1,0.817453,0.975766,0.76027
6.62,1,0.815109,0.975971,0.760912
6.63,1,0.812794,0.976174,0.761552
6.64,1,0.810506,0.976376,0.76219
6.65,1,0.808246,0.976575,0.762826
6.66,1,0.806015,0.976774,0.763461
6.67,1,0.803812,0.97697,0.764094
6.68,1,0.801637,0.977165,0.764725
6.69,1,0.79949,0.977358,0.765355
6.7,1,0.797373,0.97755,0.765982
6.71,1,0.795284,0.97774,0.766609
6.72,1,0.793223,0.977929,0.767233
6.73,1,0.791192,0.978116,0.767856
6.74,1,0.789189,0.978302,0.768477
6.75,1,0.787216,0.978486,0.769097
6.76,1,0.785271,0.978668,0.769715
6.77,1,0.783356,0.978849,0.770331
6.78,1,0.78147,0.979029,0.770945
6.79,1,0.779614,0.979207,0.771558
6.8,1,0.777786,0.979383,0.77217
6.81,1,0.775989,0.979558,0.772779
6.82,1,0.77422,0.979732,0.773387
6.83,1,0.772482,0.979904,0.773994
6.84,1,0.770773,0.980075,0.774599
6.85,1,0.769094,0.980245,0.775202
6.86,1,0.767444,0.980413,0.775803
6.87,1,0.765824,0.980579,0.776403
6.88,1,0.764235,0.980744,0.777001
6.89,1,0.762675,0.980908,0.777598
6.9,1,0.761144,0.981071,0.778193
6.91,1,0.759644,0.981232,0.778787
6.92,1,0.758174,0.981392,0.779379
6.93,1,0.756734,0.98155,0.779969
6.94,1,0.755324,0.981708,0.780558
6.95,1,0.753944,0.981864,0.781145
6.96,1,0.752594,0.982018,0.781731
