time,Time_Domain,Frequency_Spectrum
0.676,-1.35355,-1.35355
0.677,-1.29192,-1.29192
0.678,-1.21911,-1.21911
0.679,-1.1368,-1.1368
0.68,-1.0468,-1.0468
0.681,-0.951057,-0.951057
0.682,-0.851559,-0.851559
0.683,-0.750319,-0.750319
0.684,-0.649311,-0.649311
0.685,-0.550435,-0.550435
0.686,-0.455464,-0.455464
0.687,-0.366005,-0.366005
0.688,-0.283465,-0.283465
0.689,-0.209019,-0.209019
0.69,-0.14358,-0.14358
0.691,-0.0877853,-0.0877853
0.692,-0.0419826,-0.0419826
0.693,-0.00622542,-0.00622542
0.694,0.019724,0.019724
0.695,0.0363839,0.0363839
0.696,0.0445364,0.0445364
0.697,0.0452027,0.0452027
0.698,0.0396139,0.0396139
0.699,0.0291753,0.0291753
0.7,0.0154267,0.0154267
0.701,-4.90044e-15,-4.90044e-15
0.702,-0.0154267,-0.0154267
0.703,-0.0291753,-0.0291753
0.704,-0.0396139,-0.0396139
0.705,-0.0452027,-0.0452027
0.706,-0.0445364,-0.0445364
0.707,-0.0363839,-0.0363839
0.708,-0.019724,-0.019724
0.709,0.00622542,0.00622542
0.71,0.0419826,0.0419826
0.711,0.0877853,0.0877853
0.712,0.14358,0.14358
0.713,0.209019,0.209019
0.714,0.283465,0.283465
0.715,0.366005,0.366005
0.716,0.455464,0.455464
0.717,0.550435,0.550435
0.718,0.649311,0.649311
0.719,0.750319,0.750319
0.72,0.851559,0.851559
0.721,0.951057,0.951057
0.722,1.0468,1.0468
0.723,1.1368,1.1368
0.724,1.21911,1.21911
0.725,1.29192,1.29192
0.726,1.35355,1.35355
0.727,1.40254,1.40254
0.728,1.43762,1.43762
0.729,1.45782,1.45782
0.73,1.46243,1.46243
0.731,1.45106,1.45106
0.732,1.42362,1.42362
0.733,1.38036,1.38036
0.734,1.32181,1.32181
0.735,1.24884,1.24884
0.736,1.16257,1.16257
0.737,1.06441,1.06441
0.738,0.955964,0.955964
0.739,0.839056,0.839056
0.74,0.715641,0.715641
0.741,0.587785,0.587785
0.742,0.45761,0.45761
0.743,0.327245,0.327245
0.744,0.198784,0.198784
0.745,0.0742319,0.0742319
0.746,-0.0445364,-0.0445364
0.747,-0.155819,-0.155819
0.748,-0.258122,-0.258122
0.749,-0.350195,-0.350195
0.75,-0.431054,-0.431054
0.751,-0.5,-0.5
0.752,-0.556635,-0.556635
0.753,-0.600861,-0.600861
0.754,-0.632885,-0.632885
0.755,-0.653198,-0.653198
0.756,-0.66257,-0.66257
0.757,-0.662017,-0.662017
0.758,-0.652775,-0.652775
0.759,-0.636262,-0.636262
0.76,-0.614044,-0.614044
0.761,-0.587785,-0.587785
0.762,-0.559207,-0.559207
0.763,-0.530039,-0.530039
0.764,-0.501973,-0.501973
0.765,-0.476621,-0.476621
0.766,-0.455464,-0.455464
0.767,-0.439819,-0.439819
0.768,-0.430803,-0.430803
0.769,-0.429299,-0.429299
0.77,-0.435932,-0.435932
0.771,-0.451057,-0.451057
0.772,-0.474739,-0.474739
0.773,-0.506759,-0.506759
0.774,-0.546611,-0.546611
0.775,-0.593518,-0.593518
0.776,-0.646447,-0.646447
0.777,-0.704134,-0.704134
0.778,-0.765119,-0.765119
0.779,-0.827779,-0.827779
0.78,-0.890366,-0.890366
0.781,-0.951057,-0.951057
0.782,-1.00799,-1.00799
0.783,-1.05934,-1.05934
0.784,-1.1033,-1.1033
0.785,-1.13822,-1.13822
0.786,-1.16257,-1.16257
0.787,-1.17502,-1.17502
0.788,-1.17447,-1.17447
0.789,-1.16008,-1.16008
0.79,-1.13127,-1.13127
0.791,-1.08779,-1.08779
0.792,-1.02967,-1.02967
0.793,-0.957282,-0.957282
0.794,-0.871283,-0.871283
0.795,-0.772633,-0.772633
0.796,-0.66257,-0.66257
0.797,-0.542583,-0.542583
0.798,-0.414377,-0.414377
0.799,-0.279842,-0.279842
0.8,-0.141008,-0.141008
0.801,8.08564e-14,8.08564e-14
0.802,0.141008,0.141008
0.803,0.279842,0.279842
0.804,0.414377,0.414377
0.805,0.542583,0.542583
0.806,0.66257,0.66257
0.807,0.772633,0.772633
0.808,0.871283,0.871283
0.809,0.957282,0.957282
0.81,1.02967,1.02967
0.811,1.08779,1.08779
0.812,1.13127,1.13127
0.813,1.16008,1.16008
0.814,1.17447,1.17447
0.815,1.17502,1.17502
0.816,1.16257,1.16257
0.817,1.13822,1.13822
0.818,1.1033,1.1033
0.819,1.05934,1.05934
0.82,1.00799,1.00799
0.821,0.951057,0.951057
0.822,0.890366,0.890366
0.823,0.827779,0.827779
0.824,0.765119,0.765119
0.825,0.704134,0.704134
0.826,0.646447,0.646447
0.827,0.593518,0.593518
0.828,0.546611,0.546611
