time,Speed_Setpoint,DC_Motor,Control_Signal,Error
6.53,1,1.04809,1,0.0724235
6.54,1,1.04812,1,0.0723945
6.55,1,1.04814,1,0.0723657
6.56,1,1.04817,1,0.072337
6.57,1,1.0482,1,0.0723084
6.58,1,1.04823,1,0.07228
6.59,1,1.04825,1,0.0722517
6.6,1,1.04828,1,0.0722236
6.61,1,1.04831,1,0.0721955
6.62,1,1.04834,1,0.0721677
6.63,1,1.04836,1,0.0721399
6.64,1,1.04839,1,0.0721123
6.65,1,1.04842,1,0.0720848
6.66,1,1.04844,1,0.0720574
6.67,1,1.04847,1,0.0720302
6.68,1,1.0485,1,0.0720031
6.69,1,1.04852,1,0.0719761
6.7,1,1.04855,1,0.0719493
6.71,1,1.04858,1,0.0719226
6.72,1,1.0486,1,0.071896
6.73,1,1.04863,1,0.0718696
6.74,1,1.04865,1,0.0718432
6.75,1,1.04868,1,0.071817
6.76,1,1.0487,1,0.0717909
6.77,1,1.04873,1,0.071765
6.78,1,1.04875,1,0.0717392
6.79,1,1.04878,1,0.0717134
6.8,1,1.0488,1,0.0716879
6.81,1,1.04883,1,0.0716624
6.82,1,1.04885,1,0.0716371
6.83,1,1.04888,1,0.0716118
6.84,1,1.0489,1,0.0715867
6.85,1,1.04893,1,0.0715617
6.86,1,1.04895,1,0.0715369
6.87,1,1.04898,1,0.0715121
6.88,1,1.049,1,0.0714875
6.89,1,1.04902,1,0.071463
6.9,1,1.04905,1,0.0714386
6.91,1,1.04907,1,0.0714143
6.92,1,1.04909,1,0.0713902
6.93,1,1.04912,1,0.0713661
6.94,1,1.04914,1,0.0713422
6.95,1,1.04916,1,0.0713184
6.96,1,1.04919,1,0.0712947
6.97,1,1.04921,1,0.0712711
6.98,1,1.04923,1,0.0712476
6.99,1,1.04926,1,0.0712243
7,1,1.04928,1,0.071201
7.01,1,1.0493,1,0.0711779
7.02,1,1.04932,1,0.0711548
7.03,1,1.04935,1,0.0711319
7.04,1,1.04937,1,0.0711091
7.05,1,1.04939,1,0.0710864
7.06,1,1.04941,1,0.0710638
7.07,1,1.04943,1,0.0710413
7.08,1,1.04946,1,0.0710189
7.09,1,1.04948,1,0.0709967
7.1,1,1.0495,1,0.0709745
7.11,1,1.04952,1,0.0709524
7.12,1,1.04954,1,0.0709305
7.13,1,1.04956,1,0.0709086
7.14,1,1.04959,1,0.0708869
7.15,1,1.04961,1,0.0708652
7.16,1,1.04963,1,0.0708437
7.17,1,1.04965,1,0.0708222
7.18,1,1.04967,1,0.0708009
7.19,1,1.04969,1,0.0707797
7.2,1,1.04971,1,0.0707585
7.21,1,1.04973,1,0.0707375
7.22,1,1.04975,1,0.0707166
7.23,1,1.04977,1,0.0706957
7.24,1,1.04979,1,0.070675
7.25,1,1.04981,1,0.0706544
7.26,1,1.04983,1,0.0706338
7.27,1,1.04985,1,0.0706134
7.28,1,1.04987,1,0.0705931
7.29,1,1.04989,1,0.0705728
7.3,1,1.04991,1,0.0705527
7.31,1,1.04993,1,0.0705326
7.32,1,1.04995,1,0.0705127
7.33,1,1.04997,1,0.0704928
7.34,1,1.04999,1,0.070473
7.35,1,1.05001,1,0.0704534
7.36,1,1.05003,1,0.0704338
7.37,1,1.05005,1,0.0704143
7.38,1,1.05007,1,0.0703949
7.39,1,1.05008,1,0.0703756
7.4,1,1.0501,1,0.0703564
7.41,1,1.05012,1,0.0703373
7.42,1,1.05014,1,0.0703183
7.43,1,1.05016,1,0.0702993
7.44,1,1.05018,1,0.0702805
7.45,1,1.0502,1,0.0702617
7.46,1,1.05021,1,0.0702431
7.47,1,1.05023,1,0.0702245
7.48,1,1.05025,1,0.070206
7.49,1,1.05027,1,0.0701876
7.5,1,1.05029,1,0.0701693
7.51,1,1.0503,1,0.0701511
7.52,1,1.05032,1,0.070133
7.53,1,1.05034,1,0.0701149
7.54,1,1.05036,1,0.0700969
7.55,1,1.05037,1,0.0700791
7.56,1,1.05039,1,0.0700613
7.57,1,1.05041,1,0.0700436
7.58,1,1.05042,1,0.0700259
7.59,1,1.05044,1,0.0700084
7.6,1,1.05046,1,0.069991
7.61,1,1.05048,1,0.0699736
7.62,1,1.05049,1,0.0699563
7.63,1,1.05051,1,0.0699391
7.64,1,1.05053,1,0.069922
7.65,1,1.05054,1,0.0699049
7.66,1,1.05056,1,0.069888
7.67,1,1.05058,1,0.0698711
7.68,1,1.05059,1,0.0698543
7.69,1,1.05061,1,0.0698376
7.7,1,1.05062,1,0.0698209
7.71,1,1.05064,1,0.0698044
