time,Reference,Plant
11.05,1,0.999966
11.06,1,0.999966
11.07,1,0.999966
11.08,1,0.999967
11.09,1,0.999967
11.1,1,0.999967
11.11,1,0.999967
11.12,1,0.999967
11.13,1,0.999967
11.14,1,0.999968
11.15,1,0.999968
11.16,1,0.999968
11.17,1,0.999968
11.18,1,0.999968
11.19,1,0.999968
11.2,1,0.999969
11.21,1,0.999969
11.22,1,0.999969
11.23,1,0.999969
11.24,1,0.999969
11.25,1,0.99997
11.26,1,0.99997
11.27,1,0.99997
11.28,1,0.99997
11.29,1,0.99997
11.3,1,0.99997
11.31,1,0.999971
11.32,1,0.999971
11.33,1,0.999971
11.34,1,0.999971
11.35,1,0.999971
11.36,1,0.999971
11.37,1,0.999971
11.38,1,0.999972
11.39,1,0.999972
11.4,1,0.999972
11.41,1,0.999972
11.42,1,0.999972
11.43,1,0.999972
11.44,1,0.999973
11.45,1,0.999973
11.46,1,0.999973
11.47,1,0.999973
11.48,1,0.999973
11.49,1,0.999973
11.5,1,0.999973
11.51,1,0.999974
11.52,1,0.999974
11.53,1,0.999974
11.54,1,0.999974
11.55,1,0.999974
11.56,1,0.999974
11.57,1,0.999974
11.58,1,0.999975
11.59,1,0.999975
11.6,1,0.999975
11.61,1,0.999975
11.62,1,0.999975
11.63,1,0.999975
11.64,1,0.999975
11.65,1,0.999976
11.66,1,0.999976
11.67,1,0.999976
11.68,1,0.999976
11.69,1,0.999976
11.7,1,0.999976
11.71,1,0.999976
11.72,1,0.999976
11.73,1,0.999977
11.74,1,0.999977
11.75,1,0.999977
11.76,1,0.999977
11.77,1,0.999977
11.78,1,0.999977
11.79,1,0.999977
11.8,1,0.999977
11.81,1,0.999978
11.82,1,0.999978
11.83,1,0.999978
11.84,1,0.999978
11.85,1,0.999978
11.86,1,0.999978
11.87,1,0.999978
11.88,1,0.999978
11.89,1,0.999979
11.9,1,0.999979
11.91,1,0.999979
11.92,1,0.999979
11.93,1,0.999979
11.94,1,0.999979
11.95,1,0.999979
11.96,1,0.999979
11.97,1,0.999979
11.98,1,0.99998
11.99,1,0.99998
12,1,0.99998
12.01,1,0.99998
12.02,1,0.99998
12.03,1,0.99998
12.04,1,0.99998
12.05,1,0.99998
12.06,1,0.99998
12.07,1,0.999981
12.08,1,0.999981
12.09,1,0.999981
12.1,1,0.999981
12.11,1,0.999981
12.12,1,0.999981
12.13,1,0.999981
12.14,1,0.999981
12.15,1,0.999981
12.16,1,0.999982
12.17,1,0.999982
12.18,1,0.999982
12.19,1,0.999982
12.2,1,0.999982
12.21,1,0.999982
12.22,1,0.999982
12.23,1,0.999982
12.24,1,0.999982
12.25,1,0.999982
12.26,1,0.999983
12.27,1,0.999983
12.28,1,0.999983
12.29,1,0.999983
12.3,1,0.999983
12.31,1,0.999983
12.32,1,0.999983
12.33,1,0.999983
12.34,1,0.999983
12.35,1,0.999983
12.36,1,0.999983
12.37,1,0.999984
12.38,1,0.999984
12.39,1,0.999984
12.4,1,0.999984
12.41,1,0.999984
12.42,1,0.999984
12.43,1,0.999984
12.44,1,0.999984
12.45,1,0.999984
12.46,1,0.999984
12.47,1,0.999984
12.48,1,0.999984
12.49,1,0.999985
12.5,1,0.999985
12.51,1,0.999985
12.52,1,0.999985
12.53,1,0.999985
12.54,1,0.999985
12.55,1,0.999985
12.56,1,0.999985
12.57,1,0.999985
12.58,1,0.999985
12.59,1,0.999985
12.6,1,0.999985
12.61,1,0.999986
12.62,1,0.999986
12.63,1,0.999986
12.64,1,0.999986
12.65,1,0.999986
12.66,1,0.999986
12.67,1,0.999986
12.68,1,0.999986
12.69,1,0.999986
12.7,1,0.999986
12.71,1,0.999986
12.72,1,0.999986
12.73,1,0.999986
12.74,1,0.999987
12.75,1,0.999987
12.76,1,0.999987
12.77,1,0.999987
12.78,1,0.999987
12.79,1,0.999987
12.8,1,0.999987
12.81,1,0.999987
12.82,1,0.999987
12.83,1,0.999987
12.84,1,0.999987
12.85,1,0.999987
12.86,1,0.999987
12.87,1,0.999987
12.88,1,0.999988
12.89,1,0.999988
12.9,1,0.999988
12.91,1,0.999988
12.92,1,0.999988
12.93,1,0.999988
12.94,1,0.999988
12.95,1,0.999988
12.96,1,0.999988
